Comment,Sentiment
"La calidad de imagen es extraordinadamente nítida",true
"Los colores se ven lavados y sin contraste",false
"El reconocimiento facial funciona incluso con poca luz",true
"La cámara frontal produce fotos borrosas",false
"Respuesta inmediata del servicio de garantía",true
"Tardaron semanas en procesar mi devolución",false
"Interfaz personalizable según necesidades",true
"Opciones de configuración muy limitadas",false
"Sincronización perfecta con la nube",true
"Pérdida frecuente de datos en la nube",false
"Audio cristalino en llamadas y música",true
"Sonido distorsionado a volumen alto",false
"Resistente a golpes y caídas",true
"Se rayó la pantalla con uso normal",false
"Compatible con todos los accesorios modernos",true
"No reconoce dispositivos de terceros",false
"Carga rápida en menos de 30 minutos",true
"Tarda horas en cargar completamente",false
"Memoria expandible hasta 1TB",true
"Almacenamiento interno insuficiente",false
"Excelente optimización de recursos",true
"Consume demasiada RAM en reposo",false
"Sensor de huellas preciso y rápido",true
"Falla el desbloqueo biométrico constantemente",false
"Actualizaciones de seguridad mensuales",true
"Sin parches de seguridad desde la compra",false
"Pantalla visible bajo luz solar directa",true
"Imposible ver la pantalla en exteriores",false
"Integración perfecta con el ecosistema",true
"Problemas de compatibilidad con otras apps",false
"Modo nocturno ajustable automáticamente",true
"La luz azul causa fatiga visual",false
"Excelente sistema de refrigeración",true
"Se sobrecalienta con apps básicas",false
"GPS preciso en zonas urbanas y rurales",true
"Señal de ubicación inestable",false
"Filtros de spam efectivos",true
"Bandeja de entrada llena de correo basura",false
"Respaldo automático configurable",true
"Pérdida de archivos en las copias de seguridad",false
"Traducción en tiempo real precisa",true
"Errores graves en las traducciones automáticas",false
"Control parental intuitivo",true
"Configuración de seguridad complicada",false
"Optimización automática del rendimiento",true
"Requiere reinicos frecuentes para funcionar",false
"Asistente virtual multilingüe",true
"No reconoce comandos de voz básicos",false
"La batería dura más de dos días con uso intensivo",true
"Se apaga inesperadamente con batería al 50%",false
"Actualización de software mejoró el rendimiento notablemente",true
"La última actualización introdujo errores graves",false
"Atención al cliente rápida y eficiente",true
"Soporte técnico difícil de contactar y poco resolutivo",false
"Diseño ergonómico que facilita el uso prolongado",true
"Diseño incómodo para sesiones largas de uso",false
"Función de detección de rostros precisa y confiable",true
"El sensor táctil no responde ocasionalmente",false
"Amplia variedad de opciones de personalización de la interfaz",true
"La interfaz es confusa y poco intuitiva",false
"Puerto de carga y transferencia de datos resistente al uso diario",true
"El cable de carga se calienta demasiado",false
"Bluetooth se conecta al instante sin pérdidas",true
"Bluetooth pierde la conexión frecuentemente",false
"La calidad de audio en música es envolvente",true
"Los agudos se escuchan claros y sin distorsión",true
"El bajo es profundo y equilibrado",true
"La salida de auriculares no tiene ruido de fondo",true
"La calidad de audio en llamadas es excepcional",true
"El sonido de los altavoces suena metálico",false
"Hay crujidos al subir el volumen",false
"La calidad de audio pierde nitidez al nivel medio",false
"Se oyen ecos al usar el manos libres",false
"El volumen máximo es demasiado bajo",false
"La cancelación de ruido bloquea eficazmente el sonido exterior",true
"Se aprecia silencio total en ambientes ruidosos",true
"La función ANC es muy efectiva",true
