Comment,Sentiment
"Me siento muy feliz hoy",true
"Estoy triste por lo que pasó",false
"No puedo soportar estar cerca de ti",false
"La calidad de imagen es extraordinariamente nítida",true
"Los colores se ven lavados y sin contraste",false
"Me encanta cómo me veo en esta foto",true
"Te amo con todo mi corazon",true
"Me veo terrible en esa imagen",false
"Este ha sido el mejor día de mi vida",true
"Hoy ha sido un día horrible",false
"Gracias por tu ayuda me salvaste",true
"No me ayudaste cuando te necesitaba",false
"La comida estaba deliciosa",true
"La comida sabía horrible",false
"Me siento bien conmigo mismo",true
"Me siento muy inseguro últimamente",false
"Estoy muy orgulloso de mis logros",true
"Me siento como un fracaso total",false
"El reconocimiento facial funciona incluso con poca luz",true
"La cámara frontal produce fotos borrosas",false
"Respuesta inmediata del servicio de garantía",true
"Tardaron semanas en procesar mi devolución",false
"Qué alegría verte de nuevo",true
"Preferiría no volver a verte",false
"El concierto fue increíble",true
"El concierto fue una pérdida de tiempo",false
"Me encanta esta nueva canción",true
"Esta canción es insoportable",false
"Estoy emocionado por el viaje",true
"No quiero ir a ese lugar",false
"Tienes un gran sentido del humor",true
"Tus chistes no dan gracia",false
"Tu presentación fue impresionante",true
"Tu presentación fue aburrida",false
"Me hiciste sonreír",true
"Me hiciste llorar de tristeza",false
"Estoy agradecido por esta oportunidad",true
"Esta oportunidad es una pérdida de tiempo",false
"La película me encantó",true
"La película fue terrible",false
"Interfaz personalizable según necesidades",true
"Opciones de configuración muy limitadas",false
"Sincronización perfecta con la nube",true
"Pérdida frecuente de datos en la nube",false
"Audio cristalino en llamadas y música",true
"Sonido distorsionado a volumen alto",false
"Me alegra mucho verte progresar",true
"Me entristece ver que no avanzas",false
"Eres una persona maravillosa",true
"Eres una persona terrible",false
"Este libro cambió mi vida para bien",true
"Este libro fue una completa pérdida de tiempo",false
"El profesor explica de manera clara y comprensible",true
"El profesor hace que todo sea confuso",false
"Resistente a golpes y caídas",true
"Se rayó la pantalla con uso normal",false
"Compatible con todos los accesorios modernos",true
"No reconoce dispositivos de terceros",false
"Carga rápida en menos de 30 minutos",true
"Tarda horas en cargar completamente",false
"Memoria expandible hasta 1TB",true
"Almacenamiento interno insuficiente",false
"Excelente optimización de recursos",true
"Consume demasiada RAM en reposo",false
"Estoy orgulloso de tu esfuerzo",true
"Tu falta de esfuerzo me decepciona",false
"Fue un placer conocerte",true
"No disfruté para nada conocerte",false
"Eres muy talentoso en lo que haces",true
"Careces de habilidades básicas",false
"Me encanta pasar tiempo contigo",true
"Evito pasar tiempo contigo",false
"La atención al cliente fue excelente",true
"El servicio al cliente fue pésimo",false
"El café estaba perfecto",true
"El café estaba frío y amargo",false
"Tengo mucha esperanza en el futuro",true
"No veo ningún futuro prometedor",false
